epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,6506.68,0.55059,0.57178,0.9857,0.80566,0.7255,0.78349,0.68812,0.50103,0.63395,0.96756,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6604.26,0.54398,0.56513,0.9795,0.78395,0.74328,0.78605,0.6927,0.49929,0.62764,0.96739,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6701.26,0.54557,0.56284,0.98291,0.78481,0.74467,0.7846,0.69071,0.50073,0.63031,0.97038,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6796.95,0.54495,0.56183,0.98035,0.76265,0.76736,0.78793,0.69244,0.49901,0.62989,0.96847,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6894.91,0.53904,0.55412,0.98081,0.74505,0.76502,0.78711,0.69329,0.49911,0.63127,0.96893,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6991.99,0.54001,0.55557,0.98027,0.71912,0.7932,0.78579,0.69189,0.50023,0.63065,0.96991,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7088.17,0.53905,0.54492,0.97718,0.73996,0.78889,0.79434,0.70068,0.50003,0.63304,0.96926,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7185.1,0.53465,0.54033,0.97739,0.78074,0.76335,0.79328,0.70069,0.49733,0.63092,0.96849,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7282.45,0.53051,0.53487,0.97474,0.81577,0.72545,0.79516,0.70188,0.49603,0.63057,0.96835,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7378.18,0.52891,0.52487,0.97383,0.81149,0.73216,0.7915,0.69813,0.49632,0.62927,0.9692,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7475.19,0.53264,0.52543,0.97397,0.80483,0.7452,0.78758,0.69452,0.49876,0.62753,0.97259,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7572.14,0.52651,0.5223,0.97099,0.83769,0.71545,0.79472,0.70104,0.49951,0.62695,0.97336,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
